Movie_Title,Movie_ID,ListOfCertificate
Fences,2671706,PG-13
Red Eye,421239,PG-13
The Blues Brothers,80455,R
12 Monkeys,114746,R
U.S. Marshals,120873,PG-13
The Whole Nine Yards,190138,R
13 Going on 30,337563,PG-13
The Godfather Part II,71562,R
Willow,96446,PG
Sister Act 2: Back in the Habit,108147,PG
The Boss Baby 2: Family Business,6932874,PG
The Specialist,111255,R
Next Friday,195945,R
Blood Diamond,450259,R
Moulin Rouge!,203009,PG-13
The Shack,2872518,PG-13
Pet Sematary,98084,R
Dragnet,92925,PG-13
Boyz n the Hood,101507,R
Memoirs of a Geisha,397535,PG-13
Drumline,303933,PG-13
The Cider House Rules,124315,PG-13
Eyes Wide Shut,120663,R
The Queen,436697,PG-13
Happy Death Day,5308322,PG-13
Hansel & Gretel: Witch Hunters,1428538,R
In Search of Noah's Ark,76182,G
Friends with Benefits,1632708,R
The Suicide Squad,6334354,R
Free Birds,1621039,PG
Saw,387564,R
Forever Young,104291,PG
Romeo Must Die,165929,R
ParaNorman,1623288,PG
Be Cool,377471,PG-13
Primal Fear,117381,R
The Curse of the Were-Rabbit,312004,G
Fantastic Four,1502712,PG-13
Just Married,305711,PG-13
Me Before You,2674426,PG-13
The Big Chill,85244,R
Once Upon a Time in Mexico,285823,R
Dracula Untold,829150,PG-13
Insidious,1591095,PG-13
Final Destination 3,414982,R
Barbershop: The Next Cut,3628584,PG-13
The Hateful Eight,3460252,R
La Bamba,93378,PG-13
The Count of Monte Cristo,245844,PG-13
TMNT,453556,PG
Evil Dead,1288558,R
Horrible Bosses 2,2170439,R
The Hundred-Foot Journey,2980648,PG
The Abyss,96754,PG-13
The Woman in Black,1596365,PG-13
"Three Billboards Outside Ebbing, Missouri",5027774,R
New Year's Eve,1598822,PG-13
Four Weddings and a Funeral,109831,R
Crash,375679,R
Tag,2854926,R
The Omen,466909,R
Gandhi,83987,PG
Kicking & Screaming,384642,PG
The Strangers,482606,R
Grand Canyon: The Hidden Secrets,87355,
King Kong,74751,PG
The Recruit,292506,PG-13
Diary of a Wimpy Kid: Rodrick Rules,1650043,PG
13 Hours,4172430,R
Unfaithful,250797,R
Outrageous Fortune,93690,R
Message in a Bottle,139462,PG-13
Varsity Blues,139699,R
Forces of Nature,141098,PG-13
My Cousin Vinny,104952,R
Sweeney Todd: The Demon Barber of Fleet Street,408236,R
Blow,221027,R
The Prestige,482571,PG-13
Letters to Juliet,892318,PG
Life of the Party,5619332,PG-13
The Living Daylights,93428,PG
Broadcast News,92699,R
Resident Evil: Apocalypse,318627,R
Dennis the Menace,106701,PG
American Made,3532216,R
The Phantom of the Opera,293508,PG-13
Hoodwinked,443536,PG
DragonHeart,116136,PG-13
Like Mike,308506,PG
Enemy at the Gates,215750,R
Sneakers,105435,PG-13
A Cinderella Story,356470,PG
My Bloody Valentine,1179891,R
Sleeping Beauty,53285,G
The Grey,1601913,R
Atomic Blonde,2406566,R
Finding Neverland,308644,PG
Under Siege 2: Dark Territory,114781,R
Home on the Range,299172,PG
Evita,116250,PG
Sommersby,108185,PG-13
Stigmata,145531,R
Sicario: Day of the Soldado,5052474,R
Little Women,110367,PG
Breakdown,118771,R
The Book of Life,2262227,PG
Hot Tub Time Machine,1231587,R
Angels in the Outfield,109127,PG
Natural Born Killers,110632,"NC-17,R"
Ad Astra,2935510,PG-13
